"","employee","salaries.2014","salaries.2015","raise","got.raise"
"35","Employee 35",46224.7593025677,45258.9319059625,-965.827396605164,FALSE
"36","Employee 36",43552.4470591918,44502.2637168877,949.816657695919,TRUE
"37","Employee 37",48428.9080277085,48143.1348090991,-285.773218609393,FALSE
"38","Employee 38",47336.2927511334,46670.6067738123,-665.685977321118,FALSE
"39","Employee 39",41886.3028264605,41797.1953121014,-89.1075143590569,FALSE
"40","Employee 40",44938.7066648342,44042.2009481117,-896.505716722459,FALSE
"41","Employee 41",41231.7626620643,42081.5089838579,849.746321793646,TRUE
"42","Employee 42",48835.5765515007,48099.3960020132,-736.180549487472,FALSE
"43","Employee 43",45091.7265145108,45298.106636852,206.380122341216,TRUE
"44","Employee 44",41622.5276188925,41142.1322640963,-480.395354796201,FALSE
"45","Employee 45",48349.0696619265,47846.8335811049,-502.236080821604,FALSE
"46","Employee 46",48971.2443901226,49705.4958851077,734.251494985074,TRUE
"47","Employee 47",40806.6543424502,41066.4234939031,259.769151452929,TRUE
"48","Employee 48",42466.2112607621,42232.8348914161,-233.376369345933,FALSE
"49","Employee 49",45765.7901966013,45960.4254891165,194.635292515159,TRUE
"50","Employee 50",43595.2289495617,43935.710339807,340.481390245259,TRUE
"51","Employee 51",41372.7159774862,41605.0491477363,232.333170250058,TRUE
"52","Employee 52",48319.5038349368,48033.8443177752,-285.659517161548,FALSE
"53","Employee 53",41419.3732989952,41493.2708437555,73.897544760257,TRUE
"54","Employee 54",44388.746409677,43861.617133487,-527.129276189953,FALSE
"55","Employee 55",47631.0502178967,47067.9605370387,-563.089680857956,FALSE
"56","Employee 56",48584.4159196131,49283.750620205,699.334700591862,TRUE
"57","Employee 57",48728.7286366336,49071.179360617,342.450723983347,TRUE
"58","Employee 58",42584.601144772,41942.70165544,-641.89948933199,FALSE
"59","Employee 59",44329.3446581811,45328.3357438631,998.991085682064,TRUE
"60","Employee 60",48762.8067587502,49603.6106343381,840.803875587881,TRUE
"61","Employee 61",41338.0750128999,41760.1718921214,422.096879221499,TRUE
"62","Employee 62",49169.6984437294,49892.4599508755,722.76150714606,TRUE
"63","Employee 63",40009.5542753115,39231.0638739727,-778.490401338786,FALSE
"64","Employee 64",49444.3128118291,50438.4204745293,994.107662700117,TRUE
"65","Employee 65",49849.0919941105,49750.8893772028,-98.2026169076562,FALSE
"66","Employee 66",43799.2877606302,44485.3496486321,686.061888001859,TRUE
"67","Employee 67",47022.5412491709,47972.6255694404,950.084320269525,TRUE
"68","Employee 68",44337.4389247037,44047.3371990956,-290.10172560811,FALSE
"69","Employee 69",46338.4859845974,46407.6738809235,69.1878963261843,TRUE
"70","Employee 70",41675.1662362367,41495.8412842825,-179.324951954186,FALSE
"71","Employee 71",42658.689180389,42668.1146472692,9.42546688020229,TRUE
"72","Employee 72",41719.4674396887,42404.365177732,684.897738043219,TRUE
"73","Employee 73",48677.1219945513,49428.5979131237,751.475918572396,TRUE
"74","Employee 74",44308.5284857079,44179.0585997514,-129.469885956496,FALSE
"75","Employee 75",48541.293698363,48511.2577476539,-30.0359507091343,FALSE
"76","Employee 76",47223.9785920829,46598.6965149641,-625.282077118754,FALSE
"77","Employee 77",43357.1748575196,43860.6045958586,503.429738339037,TRUE
"78","Employee 78",43259.9160610698,43951.548830606,691.632769536227,TRUE
"79","Employee 79",45867.4429962412,45129.392074421,-738.050921820104,FALSE
"80","Employee 80",48878.0917529948,49847.2376246937,969.145871698856,TRUE
"81","Employee 81",46132.4624577537,46342.5102191977,210.047761444002,TRUE
"82","Employee 82",42605.3356635384,42895.6747329794,290.339069440961,TRUE
"83","Employee 83",43730.3906539455,43669.8035229929,-60.5871309526265,FALSE
"84","Employee 84",42507.1206176654,43149.6050166897,642.484399024397,TRUE
"85","Employee 85",48520.0027632527,49088.0528581329,568.050094880164,TRUE
"86","Employee 86",46576.1112631299,45817.0534200035,-759.057843126357,FALSE
"87","Employee 87",41185.0773729384,41231.4268760383,46.3495030999184,TRUE
"88","Employee 88",49661.7015078664,50270.4295492731,608.728041406721,TRUE
"89","Employee 89",47310.4763543233,46553.37108206,-757.105272263288,FALSE
"90","Employee 90",49608.5588261485,49975.8921815082,367.333355359733,TRUE
"91","Employee 91",49546.6294442303,50016.7500087991,470.120564568788,TRUE
"92","Employee 92",43793.831972871,43336.9980533607,-456.833919510245,FALSE
"93","Employee 93",47493.0742871948,46669.9953684583,-823.078918736428,FALSE
"94","Employee 94",49086.7369784974,49265.1430685073,178.406090009958,TRUE
"95","Employee 95",41991.7158596218,41070.5709047616,-921.14495486021,FALSE
"96","Employee 96",47829.4871142134,48365.5097787268,536.022664513439,TRUE
"97","Employee 97",44524.1201482713,45152.4187545292,628.298606257886,TRUE
"98","Employee 98",48858.5139811039,48188.7005977333,-669.813383370638,FALSE
"99","Employee 99",44180.127538275,44507.1955346502,327.067996375263,TRUE
"100","Employee 100",42591.9158384204,42946.904417593,354.988579172641,TRUE
